Weighting,Starting Battery Capacity (Wh),Route Distance (m),Travel Time (s),CS stops,CS Stop Duration (s),Algorithm Runtime (s),Remaining Battery Capacity At End (Wh),Number of EVs Charging,Start Edge,End Edge
A,500,0.00,1.00,0,[],0.07906770706176758,500.00,[],798950#0,25491687#0
A,500,2359.16,1110.00,1,[249],0.48691844940185547,1254.10,[1],156428064#7,799957#1
A,500,2765.65,2535.00,1,[289],0.30776405334472656,1386.25,[0],-4721472#2,-163566243#6
A,500,2323.08,900.00,1,[343],0.1005859375,1226.53,[0],171648204#0,159131938#0
A,500,3676.70,3401.00,1,[223],0.8036906719207764,1328.84,[0],613788728#0,353468982#0
A,500,7.88,5.00,0,[],0.44838476181030273,498.84,[],341760642#3,-36894917#1
A,500,3539.77,1195.00,1,[100],0.3628110885620117,1400.49,[1],317949606#1,163313151#0
A,500,2508.20,883.00,1,[249],0.1476268768310547,1065.92,[1],28038946,25491956#2
A,500,21.52,9.00,0,[],0.27873849868774414,495.22,[],4947755#3,81027372#2
A,500,1485.69,2049.00,1,[223],0.06555604934692383,1301.14,[0],gneE11,669870648#0
A,500,2087.53,1553.00,1,[289],0.12160420417785645,1275.31,[0],-3697939,802716643
A,500,44.27,12.00,0,[],0.3092653751373291,491.18,[],-155765294#3,-47441314#2
A,500,4500.06,1136.00,1,[252],0.5334579944610596,1251.83,[1],-213930985#2,27927988#4
A,500,2563.55,1617.00,1,[353],0.5759949684143066,1260.40,[1],37077783#2,317949606#1
A,500,1731.80,818.00,1,[353],0.17464995384216309,1198.09,[1],37077783#4,28039368#2
A,500,5064.56,1044.00,1,[372],0.6975994110107422,1205.29,[4],-856282420#3,-28013729#2
A,500,3492.19,2017.00,1,[336],0.4954259395599365,1099.02,[0],28174535#0,478364357#1
A,500,69.76,15.00,0,[],0.0035033226013183594,485.28,[],-28011515#8,-4947755#2
A,500,0.00,1.00,0,[],0.14562582969665527,500.00,[],-4808622#3,-27929527#4
A,500,2938.69,684.00,1,[390],0.33278703689575195,1264.39,[2],79513512#0,-28038943#0
A,500,3152.21,1100.00,1,[343],0.7496440410614014,1264.69,[0],-250134165#4,-341760642#4
A,500,4385.02,2698.00,1,[372],0.8081943988800049,1340.75,[4],-159131996#2,-799963#0
A,500,2420.48,2599.00,1,[390],0.5069355964660645,1200.26,[2],-495065367,818516141#0
A,500,30.05,10.00,0,[],0.0035033226013183594,494.40,[],-28039426#3,27683077#0
A,500,7.08,5.00,0,[],0.1376190185546875,498.77,[],22948406#1,824491853#1
A,500,1050.18,2998.00,1,[202],0.017014503479003906,1581.19,[0],155768703,798950#0
A,500,2661.19,3034.00,1,[249],0.5834999084472656,2221.60,[1],671962681,170156790#2
A,500,2262.93,2849.00,1,[343],0.30276012420654297,1286.71,[0],-184507815#2,3650041#1
A,500,3153.83,1862.00,1,[252],0.30826425552368164,1202.34,[1],242815109#0,-35277147#0
A,500,1374.44,1126.00,1,[353],0.14362406730651855,1073.48,[1],28078731#2,-27943783#0
A,500,2172.24,3862.00,1,[202],0.3392915725708008,1184.49,[0],-155768539#1,154689110#10
A,500,1169.66,1889.00,1,[353],0.042536258697509766,307.02,[1],27943463,3650048#1
A,500,88.80,17.00,0,[],0.004003286361694336,479.26,[],-28039373,100808567
A,500,6087.86,4040.00,1,[249],1.152989149093628,1263.60,[1],-28037665,155799178#2
A,500,5079.64,3834.00,1,[252],0.5074360370635986,535.68,[1],-592421473#4,-75313254#0
A,500,3383.49,1655.00,1,[336],0.3683156967163086,1373.32,[0],171648623#2,27946748
A,500,3343.62,2887.00,1,[202],1.3411509990692139,1425.57,[0],4816152#0,4816152#3
A,500,46.67,13.00,0,[],0.004003763198852539,491.50,[],-28011515#4,28011515#8
A,500,2760.60,1137.00,1,[353],0.44338130950927734,0.00,[1],-3650041#0,28008881#8
A,500,2368.18,3425.00,1,[223],0.2181873321533203,1257.38,[0],-27683075#2,163566213#7
A,500,3548.52,1191.00,1,[372],0.43587470054626465,1288.46,[4],-170161111,-639837639
A,500,1420.49,549.00,1,[204],0.09408140182495117,193.30,[0],-75313258#4,-168617599#1
A,500,2639.19,883.00,1,[372],0.10509109497070312,1088.67,[4],23315374#3,154700022#0
A,500,6.70,4.00,0,[],0.0035037994384765625,499.12,[],159238324#1,-47441103#1
A,500,9.40,6.00,0,[],0.3563065528869629,498.36,[],4947755#0,-75354224#1
A,500,3825.26,1163.00,1,[204],0.9192888736724854,1396.04,[0],333255627,-732478286
A,500,2722.43,683.00,1,[100],0.17114734649658203,1123.25,[1],154700014#3,75313258#0
A,500,2411.16,805.00,1,[223],0.19216609001159668,1136.33,[0],783673#1,-28020826#5
A,500,1546.20,1913.00,1,[353],0.23119902610778809,226.22,[1],360828844#4,-172067277#7
A,500,0.00,1.00,0,[],0.060051918029785156,500.00,[],117733395#1,773078941
A,500,4072.28,2629.00,1,[343],0.599515438079834,1540.86,[0],260900807#2,-163566186#5
A,500,1456.17,354.00,1,[372],0.03953385353088379,1053.63,[4],27930036#0,-159131955#1
A,500,33.05,10.00,0,[],0.004003763198852539,493.57,[],478364360#1,-620786542#0
A,500,11.28,6.00,0,[],0.3663148880004883,498.06,[],243211510#3,435046677
A,500,8.98,6.00,0,[],0.004004716873168945,498.96,[],159238300,-672381827#0
A,500,2237.27,654.00,1,[289],0.4278678894042969,1238.26,[0],4721523#1,210508717
A,500,8.61,5.00,0,[],0.45288944244384766,498.78,[],79513885#2,86326093#3
A,500,3685.91,966.00,1,[353],0.7631547451019287,0.00,[1],-686196791#4,-28028735#0
A,500,3934.08,2943.00,1,[353],1.421720027923584,1314.62,[1],196376299#2,4685244#0
A,500,3651.16,2336.00,1,[202],0.7146127223968506,1161.57,[0],-156464857#0,-28008881#10
A,500,3447.64,1283.00,1,[204],1.0619111061096191,2366.36,[0],163383001#1,-662745678#0
A,500,2569.09,2176.00,1,[353],0.2817423343658447,915.31,[1],169859207#0,27946570#1
A,500,2640.95,804.00,1,[372],0.18816208839416504,1194.11,[4],-672381827#1,-4910567#2
A,500,2271.92,1266.00,1,[204],0.25171589851379395,1203.59,[0],163383001#0,197713163#3
A,500,123.08,20.00,0,[],0.33778977394104004,470.85,[],27934955#0,-685522508#0
A,500,2810.29,1042.00,1,[390],0.3087654113769531,2188.95,[2],171750816#0,28011532#0
A,500,2962.99,821.00,1,[390],0.267730712890625,1079.83,[2],198647720#0,28037849#1
A,500,2774.62,2662.00,1,[390],0.24671268463134766,1287.03,[2],-677520998,156428064#8
A,500,67.15,15.00,0,[],0.004004240036010742,484.83,[],-28008878#0,25491992
A,500,3918.69,2719.00,1,[372],0.5649857521057129,1496.26,[4],-159131996#0,4721531#5
A,500,1572.17,999.00,1,[204],0.1596369743347168,1303.18,[0],28081598#0,-163313156#2
A,500,22.30,9.00,0,[],0.004004240036010742,494.04,[],-28028735#5,-168346696#6
A,500,97.15,19.00,0,[],0.004004240036010742,482.65,[],8056011,-27928341#0
A,500,4200.20,1019.00,1,[100],0.2457113265991211,1323.06,[1],-156338941#0,-159131949#1
A,500,3.38,3.00,0,[],0.36931777000427246,499.69,[],242436126,4810769#3
A,500,2319.09,802.00,1,[249],0.21018099784851074,1222.29,[1],28038939#5,-684884460#5
A,500,2519.87,891.00,1,[252],0.13911938667297363,997.03,[1],190432831#2,3661460#0
A,500,4029.53,969.00,1,[100],0.740135908126831,1002.82,[1],-169251304#1,-27943848
A,500,3416.81,1460.00,1,[202],0.29325246810913086,1388.34,[0],4816177#1,27683075#4
A,500,3972.73,3280.00,1,[390],0.7901792526245117,1559.25,[2],-198647720#1,394589798
A,500,3457.58,1269.00,1,[372],0.46339845657348633,1393.57,[4],154700014#11,gneE3
A,500,1194.70,650.00,1,[390],0.05554795265197754,1064.44,[2],353267810#1,355248654
A,500,2803.69,1136.00,1,[252],0.19967174530029297,1135.92,[1],-4818942#10,-47441314#2
A,500,3058.22,1428.00,1,[100],0.34279441833496094,1235.02,[1],317949606#2,37077833
A,500,3337.53,1514.00,1,[353],0.5369620323181152,1079.75,[1],684014248#0,-28028733#5
A,500,2067.09,629.00,1,[223],0.1571342945098877,1320.34,[0],-799972,448620546#0
A,500,1558.70,1388.00,1,[353],0.08457279205322266,233.73,[1],163566191#4,163382997
A,500,9.03,5.00,0,[],0.2867460250854492,498.64,[],27994826#3,-77537891#0
